starttime,detector_id,speed,volume,traveltime
2019-12-01T00:00:00-08:00,101169,65.99,19644,0.96
2019-12-01T00:00:00-08:00,101101,57.55,22185,0.7
2019-12-01T00:00:00-08:00,101075,63.52,17677,0.75
2019-12-01T00:00:00-08:00,100938,53.58,15404,1.69
2019-12-01T00:00:00-08:00,101170,71.98,12756,0.88
2019-12-01T00:00:00-08:00,101070,48.95,9654,0.5
2019-12-01T00:00:00-08:00,101053,69.39,21401,0.17
2019-12-01T00:00:00-08:00,100937,54.44,16859,0.9
2019-12-01T00:00:00-08:00,5031,57.27,15870,0.64
2019-12-01T00:00:00-08:00,100936,50.77,11425,0.97
2019-12-01T00:00:00-08:00,101171,60.75,12305,0.78
2019-12-01T00:00:00-08:00,100935,57.29,9870,0.86
2019-12-01T00:00:00-08:00,101172,62.73,18353,0.75
2019-12-01T00:00:00-08:00,101074,58.99,20448,0.8
2019-12-01T00:00:00-08:00,100934,73.01,10525,0.62
2019-12-01T00:00:00-08:00,101173,67.67,12648,0.7
2019-12-01T00:00:00-08:00,101071,59.22,8353,0.48
2019-12-01T00:00:00-08:00,100933,67.51,14981,0.67
2019-12-01T00:00:00-08:00,101174,64.08,7245,1.05
2019-12-01T00:00:00-08:00,100932,59.15,9969,0.77
2019-12-01T00:00:00-08:00,101175,66.58,16241,1.01
2019-12-01T00:00:00-08:00,100927,67.16,10576,1.13
2019-12-01T00:00:00-08:00,101176,71.71,10755,0.94
2019-12-01T00:00:00-08:00,101073,65.32,9780,0.44
2019-12-01T00:00:00-08:00,100926,60.31,15087,1.26
2019-12-01T00:00:00-08:00,101177,65.29,7413,0.64
2019-12-01T00:00:00-08:00,101072,60.26,15186,0.47
2019-12-01T00:00:00-08:00,100925,54.74,13846,1.39
2019-12-01T00:00:00-08:00,100924,64.92,11727,1.23
2019-12-01T00:00:00-08:00,101178,70.86,13988,0.59
2019-12-01T00:00:00-08:00,5040,58.36,10734,0.82
2019-12-01T00:00:00-08:00,100923,58.16,16758,1.38
