detectorid,stationid,milepost,lanenumber
5641,1593,73.26,3
1000134,1593,73.26,1
1000153,10436,14.2,1
1000152,10436,14.2,2
1000151,10436,14.2,3
1000154,10442,13.46,3
1000156,10442,13.46,1
1000155,10442,13.46,2
5736,1625,12.48,1
5734,1625,12.48,3
5735,1625,12.48,2
5152,1570,11.67,3
5722,1570,11.67,1
5151,1570,11.67,2
1000159,10416,11.03,1
1000158,10416,11.03,2
1000157,10416,11.03,3
5728,1623,10.8,3
5730,1623,10.8,1
5729,1623,10.8,2
1000160,10430,9.76,3
1000162,10430,9.76,1
1000161,10430,9.76,2
1000163,10403,7.56,2
1000164,10403,7.56,1
102005,1516,7.3,2
102010,1516,7.3,1
1000165,10426,6.89,2
1000166,10426,6.89,1
5039,1514,6.31,2
5138,1514,6.31,1
5040,1514,6.31,3
1000133,1512,5.29,2
1000131,1512,5.29,1
1000132,1512,5.29,3
5134,1556,4.94,3
5135,1556,4.94,2
5136,1556,4.94,1
5127,1554,4.25,1
5128,1554,4.25,2
5129,1554,4.25,3
5122,1552,3.78,1
5121,1552,3.78,2
5120,1552,3.78,3
5031,1510,3.1,2
5030,1510,3.1,1
5032,1510,3.1,3
5026,1508,2.55,1
5024,1508,2.55,3
5025,1508,2.55,2
5743,1627,2.1,2
5744,1627,2.1,1
5742,1627,2.1,3
5602,1580,1.41,2
5601,1580,1.41,3
5600,1580,1.41,4
5603,1580,1.41,1
5010,1504,0.88,3
5011,1504,0.88,2
5720,1504,0.88,1
5790,1582,0.45,2
5791,1582,0.45,1
5789,1582,0.45,3
1000184,10601,8.24,4
1000185,10601,8.24,3
1000186,10601,8.24,2
1000187,10601,8.24,1
1000103,10421,9.64,2
1000104,10421,9.64,1
5022,1507,2.55,2
5021,1507,2.55,1
5023,1507,2.55,3
1000179,10447,8.75,2
1000105,10447,8.75,1
1000021,10432,9.64,2
1000022,10432,9.64,1
5832,1647,8.83,4
5833,1647,8.83,3
5834,1647,8.83,2
1000130,1647,8.83,1
